,restaurante,seccion,platos,precios,platos_lower,seccion_lower,Categorias
28,Bosco de Lobos,Risottos,Setas de temporada (20 min),17 €,setas de temporada (20 min),risottos,None
29,Bosco de Lobos,Risottos,Caldo de cigala con su carpaccio (20 min),18 €,caldo de cigala con su carpaccio (20 min),risottos,Sopa
30,Bosco de Lobos,Carne y Pescado,Tagliata de ternera con patata rústica,19 €,tagliata de ternera con patata rústica,carne y pescado,Pescado
31,Bosco de Lobos,Carne y Pescado,"Hamburguesa Bosco con pesto, tomate seco y patatas fritas",11 €,"hamburguesa bosco con pesto, tomate seco y patatas fritas",carne y pescado,Hamburguesa
32,Bosco de Lobos,Carne y Pescado,Streak Tartar con salsa de estragón y verduritas,18 €,streak tartar con salsa de estragón y verduritas,carne y pescado,Postres
33,Bosco de Lobos,Carne y Pescado,Pollo entero a la brasa con puré de patata y pico de gallo de cilantro y piñones,16 €,pollo entero a la brasa con puré de patata y pico de gallo de cilantro y piñones,carne y pescado,Pollo
34,Bosco de Lobos,Carne y Pescado,Bonito con cremoso de patata y setas,16 €,bonito con cremoso de patata y setas,carne y pescado,Pescado
35,Bosco de Lobos,Carne y Pescado,Merluza al horno con gratén de hinojo,16 €,merluza al horno con gratén de hinojo,carne y pescado,Pescado
0,Dionisos,Entrante,Pikilia: surtido de tapas griegas,"8,15 €",pikilia: surtido de tapas griegas,entrante,Entrantes
1,Dionisos,Entrante,Risotto aegiopelagitiko: arroz con marisco al estilo de las islas,"8,91 €",risotto aegiopelagitiko: arroz con marisco al estilo de las islas,entrante,Entrantes
2,Dionisos,Entrante,"Hilopites: tagliatelle al estilo griego con tomate, olivada, orégano y queso Feta","7,83 €","hilopites: tagliatelle al estilo griego con tomate, olivada, orégano y queso feta",entrante,Entrantes
3,Dionisos,Plato,"Exohico de pollo: hojaldre griego relleno de cordero, verduras y queso","9,72 €","exohico de pollo: hojaldre griego relleno de cordero, verduras y queso",plato,Pollo
4,Dionisos,Plato,Garides mikrolimano: gambas cocidas al estilo del puerto de Mikrolimano,"13,6 €",garides mikrolimano: gambas cocidas al estilo del puerto de mikrolimano,plato,Marisco
5,Dionisos,Plato,Paidakia de cordero: costillitas de cordero a la parrilla,"12,9 €",paidakia de cordero: costillitas de cordero a la parrilla,plato,Carne
6,Dionisos,Postre,"Baklava: pastel de hojaldre griego con helado de vainilla, sirope de miel y canela","3,78 €","baklava: pastel de hojaldre griego con helado de vainilla, sirope de miel y canela",postre,Postres
7,Dionisos,Postre,"Baklava: pastel de hojaldre griego con helado de vainilla, sirope de miel y canela","4,43 €","baklava: pastel de hojaldre griego con helado de vainilla, sirope de miel y canela",postre,Postres
8,Dionisos,Postre,Karidopita: tarta de chocolate y nueces con helado de anís ouzo y salsa de chocolate,"4,32 €",karidopita: tarta de chocolate y nueces con helado de anís ouzo y salsa de chocolate,postre,Postres
9,Dionisos,seccion_bebidas,Botella de champán,"17,45 €",botella de champán,seccion_bebidas,None
10,Dionisos,seccion_bebidas,Café,"1,2 €",café,seccion_bebidas,None
11,Dionisos,seccion_bebidas,Botella de agua,"1,5 €",botella de agua,seccion_bebidas,None
12,Dionisos,seccion_bebidas,Botella de vino,"6,7 €",botella de vino,seccion_bebidas,None
13,Dionisos,seccion_bebidas,Copa de vino,"2,75 €",copa de vino,seccion_bebidas,None
0,Food Truck,Entrante,Nachos,12 €,nachos,entrante,Entrantes
1,Food Truck,Entrante,Palos de queso,"6,5 €",palos de queso,entrante,Entrantes
2,Food Truck,Entrante,Patata asada,"6,5 €",patata asada,entrante,Entrantes
3,Food Truck,Plato,"Costiburger (250gr de carne de vaca y 250gr de costilla de cerdo, salsabarbacoa, cebolla roja y pepinillo)",12 €,"costiburger (250gr de carne de vaca y 250gr de costilla de cerdo, salsabarbacoa, cebolla roja y pepinillo)",plato,Hamburguesa
4,Food Truck,Plato,"Portobello burger (carne de vaca, champiñon y chedar con cerveza Guinnes)",9 €,"portobello burger (carne de vaca, champiñon y chedar con cerveza guinnes)",plato,Hamburguesa
5,Food Truck,Plato,Phillly Cheesteak,"6,5 €",phillly cheesteak,plato,None
6,Food Truck,Postre,Tarta de zanahoria,4 €,tarta de zanahoria,postre,Postres
7,Food Truck,Postre,Tarta de queso con Nutella,4 €,tarta de queso con nutella,postre,Postres
8,Food Truck,Postre,Tarta de chocolate con cerveza Guinnes,4 €,tarta de chocolate con cerveza guinnes,postre,Postres
9,Food Truck,seccion_bebidas,Café,1 €,café,seccion_bebidas,None
10,Food Truck,seccion_bebidas,Media botella de agua,"1,3 €",media botella de agua,seccion_bebidas,None
